bar_id,boltz_id,model,canonical_bar,song,attribution,iconicity,seq_len,plddt,ptm,confidence,pde
bar_0,na0,0,"I told him it’s no friends in the game
You ain’t learn that yet?
All them bridges you came over
Don’t burn that yet",Super Freaky Girl (Queen Mix),primary,0.9938,88,0.5360297560691833,0.4654456079006195,0.5219129323959351,1.7550169229507446
bar_0,na0,1,"I told him it’s no friends in the game
You ain’t learn that yet?
All them bridges you came over
Don’t burn that yet",Super Freaky Girl (Queen Mix),primary,0.9938,88,0.48041030764579773,0.47824880480766296,0.4799779951572418,1.804548740386963
bar_0,na0,2,"I told him it’s no friends in the game
You ain’t learn that yet?
All them bridges you came over
Don’t burn that yet",Super Freaky Girl (Queen Mix),primary,0.9938,88,0.5047107338905334,0.2833319306373596,0.4604349732398987,2.300771474838257
bar_0,na0,3,"I told him it’s no friends in the game
You ain’t learn that yet?
All them bridges you came over
Don’t burn that yet",Super Freaky Girl (Queen Mix),primary,0.9938,88,0.4935927093029022,0.32493433356285095,0.45986104011535645,2.192152500152588
bar_0,na0,4,"I told him it’s no friends in the game
You ain’t learn that yet?
All them bridges you came over
Don’t burn that yet",Super Freaky Girl (Queen Mix),primary,0.9938,88,0.4372750222682953,0.2516982853412628,0.40015968680381775,2.62943434715271
bar_1,na1,0,"No, you can't bone it, n*ga, ain't no Lisa here
She gon' dread dissin' Nicki like Lisa hair
I buy, lil n*ga, ain't no leaser here",Changed It,primary,0.9365,92,0.5956469774246216,0.34661629796028137,0.545840859413147,1.8351331949234009
bar_1,na1,1,"No, you can't bone it, n*ga, ain't no Lisa here
She gon' dread dissin' Nicki like Lisa hair
I buy, lil n*ga, ain't no leaser here",Changed It,primary,0.9365,92,0.5789461731910706,0.2967824637889862,0.5225134491920471,1.9005130529403687
bar_1,na1,2,"No, you can't bone it, n*ga, ain't no Lisa here
She gon' dread dissin' Nicki like Lisa hair
I buy, lil n*ga, ain't no leaser here",Changed It,primary,0.9365,92,0.5653842687606812,0.32185235619544983,0.5166779160499573,1.8633326292037964
bar_1,na1,3,"No, you can't bone it, n*ga, ain't no Lisa here
She gon' dread dissin' Nicki like Lisa hair
I buy, lil n*ga, ain't no leaser here",Changed It,primary,0.9365,92,0.5611700415611267,0.2859150469303131,0.5061190724372864,1.9696141481399536
bar_1,na1,4,"No, you can't bone it, n*ga, ain't no Lisa here
She gon' dread dissin' Nicki like Lisa hair
I buy, lil n*ga, ain't no leaser here",Changed It,primary,0.9365,92,0.5410305261611938,0.28884944319725037,0.4905942976474762,1.898956537246704
bar_10,na10,0,"It was back in '07, did a couple of tapes. Did a couple DVDs, made a couple mistakes. Didn't know what I was doing, but I put on a cape. Now it's, ""Which world tour should I go on today?",I’m The Best,primary,0.6889,133,0.3928466737270355,0.2235691100358963,0.35899117588996887,3.1374409198760986
bar_10,na10,1,"It was back in '07, did a couple of tapes. Did a couple DVDs, made a couple mistakes. Didn't know what I was doing, but I put on a cape. Now it's, ""Which world tour should I go on today?",I’m The Best,primary,0.6889,133,0.38986751437187195,0.23405423760414124,0.3587048649787903,3.050713539123535
bar_10,na10,2,"It was back in '07, did a couple of tapes. Did a couple DVDs, made a couple mistakes. Didn't know what I was doing, but I put on a cape. Now it's, ""Which world tour should I go on today?",I’m The Best,primary,0.6889,133,0.37770652770996094,0.2554642856121063,0.3532581031322479,3.047999620437622
bar_10,na10,3,"It was back in '07, did a couple of tapes. Did a couple DVDs, made a couple mistakes. Didn't know what I was doing, but I put on a cape. Now it's, ""Which world tour should I go on today?",I’m The Best,primary,0.6889,133,0.37530678510665894,0.21176362037658691,0.34259817004203796,3.2280051708221436
bar_10,na10,4,"It was back in '07, did a couple of tapes. Did a couple DVDs, made a couple mistakes. Didn't know what I was doing, but I put on a cape. Now it's, ""Which world tour should I go on today?",I’m The Best,primary,0.6889,133,0.36515751481056213,0.21677333116531372,0.3354806900024414,3.230275869369507
bar_11,na11,0,"When they go against the kid it's gon cost for real
Came straight from the hood with the cross appeal
That's why these big names wanna toss the deal",Hell Yeah,primary,0.5856,118,0.4847654700279236,0.3419323265552521,0.4561988413333893,2.938119411468506
bar_11,na11,1,"When they go against the kid it's gon cost for real
Came straight from the hood with the cross appeal
That's why these big names wanna toss the deal",Hell Yeah,primary,0.5856,118,0.4299742579460144,0.26783883571624756,0.39754718542099,2.864283323287964
bar_11,na11,2,"When they go against the kid it's gon cost for real
Came straight from the hood with the cross appeal
That's why these big names wanna toss the deal",Hell Yeah,primary,0.5856,118,0.4319210350513458,0.24019141495227814,0.39357513189315796,2.873106002807617
bar_11,na11,3,"When they go against the kid it's gon cost for real
Came straight from the hood with the cross appeal
That's why these big names wanna toss the deal",Hell Yeah,primary,0.5856,118,0.421004980802536,0.24558304250240326,0.38592061400413513,3.0329880714416504
bar_11,na11,4,"When they go against the kid it's gon cost for real
Came straight from the hood with the cross appeal
That's why these big names wanna toss the deal",Hell Yeah,primary,0.5856,118,0.4138542413711548,0.23269417881965637,0.37762221693992615,3.0646612644195557
bar_12,na12,0,"I left my shades in Atlanta so I told my pilot to stop the plane… He busts a U in the air… She say she doing it, WHERE?",Realize,featured,0.5855,88,0.5000843405723572,0.23552151024341583,0.44717177748680115,3.0156216621398926
bar_12,na12,1,"I left my shades in Atlanta so I told my pilot to stop the plane… He busts a U in the air… She say she doing it, WHERE?",Realize,featured,0.5855,88,0.49275657534599304,0.2390289604663849,0.4420110881328583,3.0840561389923096
bar_12,na12,2,"I left my shades in Atlanta so I told my pilot to stop the plane… He busts a U in the air… She say she doing it, WHERE?",Realize,featured,0.5855,88,0.49400433897972107,0.23119686543941498,0.4414428174495697,3.0366413593292236
bar_12,na12,3,"I left my shades in Atlanta so I told my pilot to stop the plane… He busts a U in the air… She say she doing it, WHERE?",Realize,featured,0.5855,88,0.484941303730011,0.24767504632472992,0.43748804926872253,3.0945777893066406
bar_12,na12,4,"I left my shades in Atlanta so I told my pilot to stop the plane… He busts a U in the air… She say she doing it, WHERE?",Realize,featured,0.5855,88,0.4867205321788788,0.24019122123718262,0.43741464614868164,3.1514179706573486
bar_13,na13,0,I TRIED TO CHANNEL YOU IN HOPES THAT I MAY STEER YOU BACK BUT ITS LIKE EVERY INTERSECTION WE JUST MISS EACHOTHA,Dear Old Nicki,primary,0.5771,90,0.4921312928199768,0.6965821981430054,0.5330214500427246,0.9424529671669006
bar_13,na13,1,I TRIED TO CHANNEL YOU IN HOPES THAT I MAY STEER YOU BACK BUT ITS LIKE EVERY INTERSECTION WE JUST MISS EACHOTHA,Dear Old Nicki,primary,0.5771,90,0.5019327998161316,0.6228642463684082,0.5261191129684448,1.2490510940551758
bar_13,na13,2,I TRIED TO CHANNEL YOU IN HOPES THAT I MAY STEER YOU BACK BUT ITS LIKE EVERY INTERSECTION WE JUST MISS EACHOTHA,Dear Old Nicki,primary,0.5771,90,0.5040420293807983,0.3950237035751343,0.48223838210105896,2.0570180416107178
bar_13,na13,3,I TRIED TO CHANNEL YOU IN HOPES THAT I MAY STEER YOU BACK BUT ITS LIKE EVERY INTERSECTION WE JUST MISS EACHOTHA,Dear Old Nicki,primary,0.5771,90,0.5068154335021973,0.32327544689178467,0.47010746598243713,2.2097082138061523
bar_13,na13,4,I TRIED TO CHANNEL YOU IN HOPES THAT I MAY STEER YOU BACK BUT ITS LIKE EVERY INTERSECTION WE JUST MISS EACHOTHA,Dear Old Nicki,primary,0.5771,90,0.48881176114082336,0.3641817271709442,0.46388575434684753,2.0546083450317383
bar_14,na14,0,"I never thought you would end up as the enemy I always thought you'd be right here, still defending me I feel so bad for you, lost your identity Made your decision, there's a penalty",Just The Memories,primary,0.5683,143,0.4707965850830078,0.30108943581581116,0.43685516715049744,2.4476096630096436
bar_14,na14,1,"I never thought you would end up as the enemy I always thought you'd be right here, still defending me I feel so bad for you, lost your identity Made your decision, there's a penalty",Just The Memories,primary,0.5683,143,0.4648117423057556,0.2962612509727478,0.43110164999961853,2.4900054931640625
bar_14,na14,2,"I never thought you would end up as the enemy I always thought you'd be right here, still defending me I feel so bad for you, lost your identity Made your decision, there's a penalty",Just The Memories,primary,0.5683,143,0.4629873037338257,0.3024159371852875,0.43087300658226013,2.416964530944824
bar_14,na14,3,"I never thought you would end up as the enemy I always thought you'd be right here, still defending me I feel so bad for you, lost your identity Made your decision, there's a penalty",Just The Memories,primary,0.5683,143,0.4623401463031769,0.2959902286529541,0.42907020449638367,2.4888105392456055
bar_14,na14,4,"I never thought you would end up as the enemy I always thought you'd be right here, still defending me I feel so bad for you, lost your identity Made your decision, there's a penalty",Just The Memories,primary,0.5683,143,0.42502066493034363,0.26224979758262634,0.3924665153026581,2.6325812339782715
bar_15,na15,0,"I can't fall for you, can't give my all to you Can't let you think that I'ma let the game stall for you Gotta protect me, you gotta sweat me You said you thought you was ready, and I said, Let's see",I Lied,primary,0.551,148,0.43004027009010315,0.2685089409351349,0.39773401618003845,2.6547138690948486
bar_15,na15,1,"I can't fall for you, can't give my all to you Can't let you think that I'ma let the game stall for you Gotta protect me, you gotta sweat me You said you thought you was ready, and I said, Let's see",I Lied,primary,0.551,148,0.4285452365875244,0.2729938328266144,0.39743494987487793,2.5387449264526367
bar_15,na15,2,"I can't fall for you, can't give my all to you Can't let you think that I'ma let the game stall for you Gotta protect me, you gotta sweat me You said you thought you was ready, and I said, Let's see",I Lied,primary,0.551,148,0.42199453711509705,0.27683380246162415,0.39296239614486694,2.559128761291504
bar_15,na15,3,"I can't fall for you, can't give my all to you Can't let you think that I'ma let the game stall for you Gotta protect me, you gotta sweat me You said you thought you was ready, and I said, Let's see",I Lied,primary,0.551,148,0.4200356900691986,0.2724267542362213,0.39051389694213867,2.602729558944702
bar_15,na15,4,"I can't fall for you, can't give my all to you Can't let you think that I'ma let the game stall for you Gotta protect me, you gotta sweat me You said you thought you was ready, and I said, Let's see",I Lied,primary,0.551,148,0.40805453062057495,0.24742045998573303,0.37592771649360657,2.6216139793395996
bar_16,na16,0,"hear them mumblin', I hear the cacklin'
I got 'em scared, shook, panickin'
Overseas, church, Vatican
You at a stand still, mannequin",Roman’s Revenge (Remix),primary,0.5477,101,0.4499804675579071,0.27515682578086853,0.4150157570838928,2.8435184955596924
bar_16,na16,1,"hear them mumblin', I hear the cacklin'
I got 'em scared, shook, panickin'
Overseas, church, Vatican
You at a stand still, mannequin",Roman’s Revenge (Remix),primary,0.5477,101,0.4429810345172882,0.2775251865386963,0.40988990664482117,2.801985502243042
bar_16,na16,2,"hear them mumblin', I hear the cacklin'
I got 'em scared, shook, panickin'
Overseas, church, Vatican
You at a stand still, mannequin",Roman’s Revenge (Remix),primary,0.5477,101,0.4305894374847412,0.25526970624923706,0.3955255150794983,2.881751537322998
bar_16,na16,3,"hear them mumblin', I hear the cacklin'
I got 'em scared, shook, panickin'
Overseas, church, Vatican
You at a stand still, mannequin",Roman’s Revenge (Remix),primary,0.5477,101,0.42823734879493713,0.2629653513431549,0.39518293738365173,2.8835604190826416
bar_16,na16,4,"hear them mumblin', I hear the cacklin'
I got 'em scared, shook, panickin'
Overseas, church, Vatican
You at a stand still, mannequin",Roman’s Revenge (Remix),primary,0.5477,101,0.4275997579097748,0.24711929261684418,0.3915036618709564,2.937006950378418
bar_17,na17,0,"First things first, all my girls, know your worth
Self-love is the greatest love on Earth
Cry your eyes out, get it out, it's the worst
But love don't hurt, no",Love Me Enough,primary,0.4828,121,0.38627392053604126,0.2307644486427307,0.3551720082759857,3.3445005416870117
bar_17,na17,1,"First things first, all my girls, know your worth
Self-love is the greatest love on Earth
Cry your eyes out, get it out, it's the worst
But love don't hurt, no",Love Me Enough,primary,0.4828,121,0.3752804398536682,0.2456832081079483,0.34936100244522095,3.246123790740967
bar_17,na17,2,"First things first, all my girls, know your worth
Self-love is the greatest love on Earth
Cry your eyes out, get it out, it's the worst
But love don't hurt, no",Love Me Enough,primary,0.4828,121,0.3791823089122772,0.21141085028648376,0.345628023147583,3.5676119327545166
bar_17,na17,3,"First things first, all my girls, know your worth
Self-love is the greatest love on Earth
Cry your eyes out, get it out, it's the worst
But love don't hurt, no",Love Me Enough,primary,0.4828,121,0.3774493634700775,0.20755133032798767,0.3434697687625885,3.4440791606903076
bar_17,na17,4,"First things first, all my girls, know your worth
Self-love is the greatest love on Earth
Cry your eyes out, get it out, it's the worst
But love don't hurt, no",Love Me Enough,primary,0.4828,121,0.36559945344924927,0.17127251625061035,0.3267340660095215,3.3949267864227295
bar_18,na18,0,"Then you say I won't survive if I leave
But I got a couple of tricks up my sleeve
I no longer need your attention, at ease",Here I Am,primary,0.4448,94,0.49499672651290894,0.2522534430027008,0.44644808769226074,2.375427722930908
bar_18,na18,1,"Then you say I won't survive if I leave
But I got a couple of tricks up my sleeve
I no longer need your attention, at ease",Here I Am,primary,0.4448,94,0.47137758135795593,0.2553771138191223,0.42817750573158264,2.4225594997406006
bar_18,na18,2,"Then you say I won't survive if I leave
But I got a couple of tricks up my sleeve
I no longer need your attention, at ease",Here I Am,primary,0.4448,94,0.4408487379550934,0.28186702728271484,0.40905237197875977,2.598405599594116
bar_18,na18,3,"Then you say I won't survive if I leave
But I got a couple of tricks up my sleeve
I no longer need your attention, at ease",Here I Am,primary,0.4448,94,0.4389912486076355,0.2756061255931854,0.4063142240047455,2.603529214859009
bar_18,na18,4,"Then you say I won't survive if I leave
But I got a couple of tricks up my sleeve
I no longer need your attention, at ease",Here I Am,primary,0.4448,94,0.4101060926914215,0.3855471909046173,0.40519434213638306,2.2934377193450928
bar_19,na19,0,"Put my blood, sweat, and tears in perfectin' my craft
Still every team's number one pick in the draft
You could bring anybody, weatherman, pick a day
I'm Kobe, KD, Kyrie, PICK A K!",Ganja Burn,primary,0.4329,136,0.4600651264190674,0.30164864659309387,0.4283818304538727,2.435448169708252
bar_19,na19,1,"Put my blood, sweat, and tears in perfectin' my craft
Still every team's number one pick in the draft
You could bring anybody, weatherman, pick a day
I'm Kobe, KD, Kyrie, PICK A K!",Ganja Burn,primary,0.4329,136,0.4604957103729248,0.27397096157073975,0.42319080233573914,2.463341474533081
bar_19,na19,2,"Put my blood, sweat, and tears in perfectin' my craft
Still every team's number one pick in the draft
You could bring anybody, weatherman, pick a day
I'm Kobe, KD, Kyrie, PICK A K!",Ganja Burn,primary,0.4329,136,0.4557729661464691,0.2866763770580292,0.42195364832878113,2.4128055572509766
bar_19,na19,3,"Put my blood, sweat, and tears in perfectin' my craft
Still every team's number one pick in the draft
You could bring anybody, weatherman, pick a day
I'm Kobe, KD, Kyrie, PICK A K!",Ganja Burn,primary,0.4329,136,0.4504724442958832,0.28806790709495544,0.4179915487766266,2.4937660694122314
bar_19,na19,4,"Put my blood, sweat, and tears in perfectin' my craft
Still every team's number one pick in the draft
You could bring anybody, weatherman, pick a day
I'm Kobe, KD, Kyrie, PICK A K!",Ganja Burn,primary,0.4329,136,0.4540809690952301,0.27168408036231995,0.4176015853881836,2.4995293617248535
bar_2,na2,0,"me against enemies, me against friends somehow, they both seem to become one a sea full of sharks & they ALL smell blood",Fly,primary,0.9158,95,0.4897020161151886,0.23767130076885223,0.43929585814476013,2.356513023376465
bar_2,na2,1,"me against enemies, me against friends somehow, they both seem to become one a sea full of sharks & they ALL smell blood",Fly,primary,0.9158,95,0.47891974449157715,0.24330297112464905,0.4317964017391205,2.3765511512756348
bar_2,na2,2,"me against enemies, me against friends somehow, they both seem to become one a sea full of sharks & they ALL smell blood",Fly,primary,0.9158,95,0.4538971781730652,0.23396934568881989,0.4099116325378418,2.4906084537506104
bar_2,na2,3,"me against enemies, me against friends somehow, they both seem to become one a sea full of sharks & they ALL smell blood",Fly,primary,0.9158,95,0.4447629153728485,0.24821534752845764,0.4054534137248993,2.54233980178833
bar_2,na2,4,"me against enemies, me against friends somehow, they both seem to become one a sea full of sharks & they ALL smell blood",Fly,primary,0.9158,95,0.43849456310272217,0.2633935809135437,0.4034743905067444,2.6016452312469482
bar_20,na20,0,"Why is that you could only see the worst in me? / I swear sometimes I feel like it nurtures me / But to keep it all real, it's kinda hurting me / I could say I'm done with it, but it lurks in me",Here I Am,primary,0.4146,142,0.4670547842979431,0.2761894464492798,0.4288817346096039,2.8043835163116455
bar_20,na20,1,"Why is that you could only see the worst in me? / I swear sometimes I feel like it nurtures me / But to keep it all real, it's kinda hurting me / I could say I'm done with it, but it lurks in me",Here I Am,primary,0.4146,142,0.46871981024742126,0.22843831777572632,0.4206635057926178,2.8138155937194824
bar_20,na20,2,"Why is that you could only see the worst in me? / I swear sometimes I feel like it nurtures me / But to keep it all real, it's kinda hurting me / I could say I'm done with it, but it lurks in me",Here I Am,primary,0.4146,142,0.44835248589515686,0.25157731771469116,0.40899744629859924,2.8423542976379395
bar_20,na20,3,"Why is that you could only see the worst in me? / I swear sometimes I feel like it nurtures me / But to keep it all real, it's kinda hurting me / I could say I'm done with it, but it lurks in me",Here I Am,primary,0.4146,142,0.4484732747077942,0.22023113071918488,0.40282484889030457,2.8900458812713623
bar_20,na20,4,"Why is that you could only see the worst in me? / I swear sometimes I feel like it nurtures me / But to keep it all real, it's kinda hurting me / I could say I'm done with it, but it lurks in me",Here I Am,primary,0.4146,142,0.4441075921058655,0.22887299954891205,0.40106067061424255,2.852997064590454
bar_21,na21,0,"now tell them btches anyway, cause we don't care what none of them gyal affi say, u CAN’T stop me, i'ma fulfill the prophecy",Wave Ya Hand,primary,0.4055,95,0.49410828948020935,0.31697240471839905,0.4586811065673828,2.029414653778076
bar_21,na21,1,"now tell them btches anyway, cause we don't care what none of them gyal affi say, u CAN’T stop me, i'ma fulfill the prophecy",Wave Ya Hand,primary,0.4055,95,0.45464208722114563,0.4659515917301178,0.45690399408340454,1.6270939111709595
bar_21,na21,2,"now tell them btches anyway, cause we don't care what none of them gyal affi say, u CAN’T stop me, i'ma fulfill the prophecy",Wave Ya Hand,primary,0.4055,95,0.48626837134361267,0.3122144341468811,0.45145758986473083,2.011155366897583
bar_21,na21,3,"now tell them btches anyway, cause we don't care what none of them gyal affi say, u CAN’T stop me, i'ma fulfill the prophecy",Wave Ya Hand,primary,0.4055,95,0.46831825375556946,0.32414916157722473,0.43948444724082947,2.0137994289398193
bar_21,na21,4,"now tell them btches anyway, cause we don't care what none of them gyal affi say, u CAN’T stop me, i'ma fulfill the prophecy",Wave Ya Hand,primary,0.4055,95,0.4649985432624817,0.2940497100353241,0.43080878257751465,2.093799591064453
bar_22,na22,0,"Is this how people act when you not regular? They screaming from Africa to Australia. I told em that I've always been peculiar. Queening down to the letter, as in Julius",Regular Degular,primary,0.3992,134,0.47201454639434814,0.29325592517852783,0.4362628161907196,2.4898030757904053
bar_22,na22,1,"Is this how people act when you not regular? They screaming from Africa to Australia. I told em that I've always been peculiar. Queening down to the letter, as in Julius",Regular Degular,primary,0.3992,134,0.45527634024620056,0.27143746614456177,0.4185085892677307,2.6629209518432617
bar_22,na22,2,"Is this how people act when you not regular? They screaming from Africa to Australia. I told em that I've always been peculiar. Queening down to the letter, as in Julius",Regular Degular,primary,0.3992,134,0.44897693395614624,0.26042136549949646,0.4112658202648163,2.685737371444702
bar_22,na22,3,"Is this how people act when you not regular? They screaming from Africa to Australia. I told em that I've always been peculiar. Queening down to the letter, as in Julius",Regular Degular,primary,0.3992,134,0.4334302842617035,0.2847382426261902,0.4036918580532074,2.7188282012939453
bar_22,na22,4,"Is this how people act when you not regular? They screaming from Africa to Australia. I told em that I've always been peculiar. Queening down to the letter, as in Julius",Regular Degular,primary,0.3992,134,0.43291568756103516,0.2683340311050415,0.39999935030937195,2.7266736030578613
bar_23,na23,0,"I don't never clique up, but they know who the clique is, Fast little bitches, but of course I'm the quickest, Mortal Kombat, ninja Nicki, who ya pick is ?",Miami,primary,0.3955,117,0.4530022144317627,0.6300032734870911,0.48840242624282837,1.2647027969360352
bar_23,na23,1,"I don't never clique up, but they know who the clique is, Fast little bitches, but of course I'm the quickest, Mortal Kombat, ninja Nicki, who ya pick is ?",Miami,primary,0.3955,117,0.4889063835144043,0.3339279592037201,0.4579106867313385,2.392519235610962
bar_23,na23,2,"I don't never clique up, but they know who the clique is, Fast little bitches, but of course I'm the quickest, Mortal Kombat, ninja Nicki, who ya pick is ?",Miami,primary,0.3955,117,0.4785831868648529,0.31155890226364136,0.4451783299446106,2.333836555480957
bar_23,na23,3,"I don't never clique up, but they know who the clique is, Fast little bitches, but of course I'm the quickest, Mortal Kombat, ninja Nicki, who ya pick is ?",Miami,primary,0.3955,117,0.47498419880867004,0.30807408690452576,0.4416022002696991,2.362034320831299
bar_23,na23,4,"I don't never clique up, but they know who the clique is, Fast little bitches, but of course I'm the quickest, Mortal Kombat, ninja Nicki, who ya pick is ?",Miami,primary,0.3955,117,0.431628942489624,0.3464807868003845,0.41459932923316956,2.3809361457824707
bar_24,na24,0,"The Maybach ain't poppin, if it ain't got no par-tah-tion… Oops, I mean partition, it's all a part of my vision… I sit and count this money while I watch you b*tches audition",Lay It Down,featured,0.3703,131,0.3824784755706787,0.25558799505233765,0.35710039734840393,3.4960923194885254
bar_24,na24,1,"The Maybach ain't poppin, if it ain't got no par-tah-tion… Oops, I mean partition, it's all a part of my vision… I sit and count this money while I watch you b*tches audition",Lay It Down,featured,0.3703,131,0.3855327069759369,0.22697371244430542,0.35382089018821716,3.3420639038085938
bar_24,na24,2,"The Maybach ain't poppin, if it ain't got no par-tah-tion… Oops, I mean partition, it's all a part of my vision… I sit and count this money while I watch you b*tches audition",Lay It Down,featured,0.3703,131,0.3712614178657532,0.22940954566001892,0.34289106726646423,3.4199752807617188
bar_24,na24,3,"The Maybach ain't poppin, if it ain't got no par-tah-tion… Oops, I mean partition, it's all a part of my vision… I sit and count this money while I watch you b*tches audition",Lay It Down,featured,0.3703,131,0.3611477315425873,0.22958098351955414,0.33483439683914185,3.3299241065979004
bar_24,na24,4,"The Maybach ain't poppin, if it ain't got no par-tah-tion… Oops, I mean partition, it's all a part of my vision… I sit and count this money while I watch you b*tches audition",Lay It Down,featured,0.3703,131,0.3551252484321594,0.1777496188879013,0.31965014338493347,3.633714437484741
bar_25,na25,0,"Say the Queen name you can get some ill press… That went right over your head, you should feel blessed… Must’ve used a lot of starch cause they still pressed",No Flag,featured,0.3698,124,0.47182220220565796,0.42346787452697754,0.46215134859085083,2.9091312885284424
bar_25,na25,1,"Say the Queen name you can get some ill press… That went right over your head, you should feel blessed… Must’ve used a lot of starch cause they still pressed",No Flag,featured,0.3698,124,0.46568846702575684,0.3803989589214325,0.44863057136535645,3.1458473205566406
bar_25,na25,2,"Say the Queen name you can get some ill press… That went right over your head, you should feel blessed… Must’ve used a lot of starch cause they still pressed",No Flag,featured,0.3698,124,0.46379876136779785,0.3846835792064667,0.4479757249355316,3.1437015533447266
bar_25,na25,3,"Say the Queen name you can get some ill press… That went right over your head, you should feel blessed… Must’ve used a lot of starch cause they still pressed",No Flag,featured,0.3698,124,0.463030606508255,0.3769717514514923,0.44581887125968933,3.1743836402893066
bar_25,na25,4,"Say the Queen name you can get some ill press… That went right over your head, you should feel blessed… Must’ve used a lot of starch cause they still pressed",No Flag,featured,0.3698,124,0.4544834792613983,0.3658215403556824,0.4367510974407196,3.1531548500061035
bar_26,na26,0,"These bitches still my sons, who could ever deny it?
My packs hit different, who could ever supply it?",Seeing Green,primary,0.3582,80,0.4152686595916748,0.234401136636734,0.3790951669216156,2.7230818271636963
bar_26,na26,1,"These bitches still my sons, who could ever deny it?
My packs hit different, who could ever supply it?",Seeing Green,primary,0.3582,80,0.4059715270996094,0.22108061611652374,0.3689933717250824,2.9744222164154053
bar_26,na26,2,"These bitches still my sons, who could ever deny it?
My packs hit different, who could ever supply it?",Seeing Green,primary,0.3582,80,0.4017297625541687,0.2332945615053177,0.3680427372455597,2.7793757915496826
bar_26,na26,3,"These bitches still my sons, who could ever deny it?
My packs hit different, who could ever supply it?",Seeing Green,primary,0.3582,80,0.4023832380771637,0.2167702168226242,0.36526063084602356,2.948697805404663
bar_26,na26,4,"These bitches still my sons, who could ever deny it?
My packs hit different, who could ever supply it?",Seeing Green,primary,0.3582,80,0.3792339563369751,0.21188285946846008,0.3457637429237366,2.8781795501708984
bar_27,na27,0,"You gotta have real skill, gotta work for that. If it’s really your passion would you give the world for that?",Ganja Burn,primary,0.3307,86,0.46479207277297974,0.26853176951408386,0.425540030002594,2.2035865783691406
bar_27,na27,1,"You gotta have real skill, gotta work for that. If it’s really your passion would you give the world for that?",Ganja Burn,primary,0.3307,86,0.46405020356178284,0.26163962483406067,0.42356809973716736,2.2245266437530518
bar_27,na27,2,"You gotta have real skill, gotta work for that. If it’s really your passion would you give the world for that?",Ganja Burn,primary,0.3307,86,0.46176013350486755,0.25380563735961914,0.42016926407814026,2.2028064727783203
bar_27,na27,3,"You gotta have real skill, gotta work for that. If it’s really your passion would you give the world for that?",Ganja Burn,primary,0.3307,86,0.4570385217666626,0.26954126358032227,0.41953906416893005,2.161618709564209
bar_27,na27,4,"You gotta have real skill, gotta work for that. If it’s really your passion would you give the world for that?",Ganja Burn,primary,0.3307,86,0.4619203209877014,0.23531560599803925,0.4165993630886078,2.294635534286499
bar_28,na28,0,"Who had Eminem on the First album?
Who had Kanye saying she’s a problem?
Who tf came in the Game made her own column?
Who, made Lil Wayne give em 5 million?",Want Some More,primary,0.3251,118,0.4977525472640991,0.3119562268257141,0.4605932831764221,2.1427927017211914
