bar_id,canonical_bar,song,attribution,iconicity,seq_len,n_models,best_model,plddt_mean,plddt_sd,plddt_best,ptm_mean,ptm_sd,ptm_best,confidence_mean,confidence_best,structural_class
bar_0,"I told him it’s no friends in the game
You ain’t learn that yet?
All them bridges you came over
Don’t burn that yet",Super Freaky Girl (Queen Mix),primary,0.9938,88,5,0,0.490404,0.032308,0.536030,0.360732,0.093740,0.478249,0.464469,0.521913,uncertain_protein_like
bar_1,"No, you can't bone it, n*ga, ain't no Lisa here
She gon' dread dissin' Nicki like Lisa hair
I buy, lil n*ga, ain't no leaser here",Changed It,primary,0.9365,92,5,0,0.568436,0.018243,0.595647,0.308003,0.023080,0.346616,0.516349,0.545841,disordered
bar_10,"It was back in '07, did a couple of tapes. Did a couple DVDs, made a couple mistakes. Didn't know what I was doing, but I put on a cape. Now it's, ""Which world tour should I go on today?",I’m The Best,primary,0.6889,133,5,0,0.380177,0.010098,0.392847,0.228325,0.015490,0.255464,0.349807,0.358991,disordered
bar_11,"When they go against the kid it's gon cost for real
Came straight from the hood with the cross appeal
That's why these big names wanna toss the deal",Hell Yeah,primary,0.5856,118,5,0,0.436304,0.025083,0.484765,0.265648,0.039902,0.341932,0.402173,0.456199,disordered
bar_12,"I left my shades in Atlanta so I told my pilot to stop the plane… He busts a U in the air… She say she doing it, WHERE?",Realize,featured,0.5855,88,5,0,0.491701,0.005426,0.500084,0.238723,0.005464,0.247675,0.441106,0.447172,disordered
bar_13,I TRIED TO CHANNEL YOU IN HOPES THAT I MAY STEER YOU BACK BUT ITS LIKE EVERY INTERSECTION WE JUST MISS EACHOTHA,Dear Old Nicki,primary,0.5771,90,5,0,0.498747,0.007011,0.506815,0.480385,0.150010,0.696582,0.495074,0.533021,uncertain_protein_like
bar_14,"I never thought you would end up as the enemy I always thought you'd be right here, still defending me I feel so bad for you, lost your identity Made your decision, there's a penalty",Just The Memories,primary,0.5683,143,5,0,0.457191,0.016360,0.470797,0.291601,0.014896,0.302416,0.424073,0.436855,disordered
bar_15,"I can't fall for you, can't give my all to you Can't let you think that I'ma let the game stall for you Gotta protect me, you gotta sweat me You said you thought you was ready, and I said, Let's see",I Lied,primary,0.551,148,5,0,0.421734,0.007816,0.430040,0.267637,0.010447,0.276834,0.390915,0.397734,disordered
bar_16,"hear them mumblin', I hear the cacklin'
I got 'em scared, shook, panickin'
Overseas, church, Vatican
You at a stand still, mannequin",Roman’s Revenge (Remix),primary,0.5477,101,5,0,0.435878,0.008991,0.449980,0.263607,0.011566,0.277525,0.401424,0.415016,disordered
bar_17,"First things first, all my girls, know your worth
Self-love is the greatest love on Earth
Cry your eyes out, get it out, it's the worst
But love don't hurt, no",Love Me Enough,primary,0.4828,121,5,0,0.376757,0.006687,0.386274,0.213336,0.025126,0.245683,0.344073,0.355172,disordered
bar_18,"Then you say I won't survive if I leave
But I got a couple of tricks up my sleeve
I no longer need your attention, at ease",Here I Am,primary,0.4448,94,5,0,0.451264,0.029224,0.494997,0.290130,0.049043,0.385547,0.419037,0.446448,disordered
bar_19,"Put my blood, sweat, and tears in perfectin' my craft
Still every team's number one pick in the draft
You could bring anybody, weatherman, pick a day
I'm Kobe, KD, Kyrie, PICK A K!",Ganja Burn,primary,0.4329,136,5,0,0.456177,0.003765,0.460496,0.284410,0.010832,0.301649,0.421824,0.428382,disordered
bar_2,"me against enemies, me against friends somehow, they both seem to become one a sea full of sharks & they ALL smell blood",Fly,primary,0.9158,95,5,0,0.461155,0.019826,0.489702,0.245311,0.010261,0.263394,0.417986,0.439296,disordered
bar_20,"Why is that you could only see the worst in me? / I swear sometimes I feel like it nurtures me / But to keep it all real, it's kinda hurting me / I could say I'm done with it, but it lurks in me",Here I Am,primary,0.4146,142,5,0,0.455342,0.010377,0.468720,0.241062,0.020427,0.276189,0.412486,0.428882,disordered
bar_21,"now tell them btches anyway, cause we don't care what none of them gyal affi say, u CAN’T stop me, i'ma fulfill the prophecy",Wave Ya Hand,primary,0.4055,95,5,0,0.473667,0.014438,0.494108,0.342667,0.062439,0.465952,0.447467,0.458681,uncertain_protein_like
bar_22,"Is this how people act when you not regular? They screaming from Africa to Australia. I told em that I've always been peculiar. Queening down to the letter, as in Julius",Regular Degular,primary,0.3992,134,5,0,0.448523,0.014622,0.472015,0.275637,0.011796,0.293256,0.413946,0.436263,disordered
bar_23,"I don't never clique up, but they know who the clique is, Fast little bitches, but of course I'm the quickest, Mortal Kombat, ninja Nicki, who ya pick is ?",Miami,primary,0.3955,117,5,0,0.465421,0.020554,0.488906,0.386009,0.122821,0.630003,0.449539,0.488402,uncertain_protein_like
bar_24,"The Maybach ain't poppin, if it ain't got no par-tah-tion… Oops, I mean partition, it's all a part of my vision… I sit and count this money while I watch you b*tches audition",Lay It Down,featured,0.3703,131,5,0,0.371109,0.011765,0.385533,0.223860,0.025322,0.255588,0.341659,0.357100,disordered
bar_25,"Say the Queen name you can get some ill press… That went right over your head, you should feel blessed… Must’ve used a lot of starch cause they still pressed",No Flag,featured,0.3698,124,5,0,0.463765,0.005573,0.471822,0.386269,0.019623,0.423468,0.448266,0.462151,uncertain_protein_like
bar_26,"These bitches still my sons, who could ever deny it?
My packs hit different, who could ever supply it?",Seeing Green,primary,0.3582,80,5,0,0.400917,0.011870,0.415269,0.223486,0.008954,0.234401,0.365431,0.379095,disordered
bar_27,"You gotta have real skill, gotta work for that. If it’s really your passion would you give the world for that?",Ganja Burn,primary,0.3307,86,5,0,0.461912,0.002707,0.464792,0.257767,0.012564,0.269541,0.421083,0.425540,disordered
bar_28,"Who had Eminem on the First album?
Who had Kanye saying she’s a problem?
Who tf came in the Game made her own column?
Who, made Lil Wayne give em 5 million?",Want Some More,primary,0.3251,118,5,0,0.478694,0.019142,0.497753,0.324550,0.016168,0.355368,0.447865,0.460593,disordered
bar_29,"Now don't you feel real stupid? Yeah, that's egg on yo' face
If you wasn't so ugly, I'd put my d*ck in yo' face! 
D*ck in your face
Put my d*ck in your face",Come on a Cone,primary,0.3104,109,5,0,0.420723,0.022821,0.436942,0.257960,0.010199,0.271661,0.388171,0.403886,disordered
bar_3,"You just a heartbreaker, won’t let you break mine cus I’ll be smashin’ windows and cuttin them brake lines",I Lied,primary,0.8298,84,5,0,0.640933,0.016472,0.668604,0.442557,0.013333,0.465701,0.601257,0.628023,confident_protein_like
bar_30,But it's kill season you apologized but it's still treason Got 'em steamin' like dry cleanin Move on my time and I ain't no demon,Barbie Dangerous,primary,0.2987,100,5,0,0.403859,0.018802,0.429569,0.231171,0.019379,0.263780,0.369321,0.390390,disordered
bar_31,"You trippin', did you pack?
Can't post on Nicki block unless you sellin' Nicki crack
Here, take a Nicki pack
Check out this Nicki act
Nicki this, Nicki that
All these bchs piggyback",Majesty,primary,0.2726,142,5,0,0.373428,0.008328,0.384246,0.220569,0.012916,0.241045,0.342856,0.353215,disordered
bar_32,"Lookin like every designer fave muse 
Front row next to the who's who's 
Tryna build another Barbie doll screw's loose",Barbie Dangerous,primary,0.2685,94,5,0,0.676139,0.005349,0.685450,0.647124,0.038642,0.706626,0.670336,0.683320,confident_protein_like
bar_33,"I know I can really say I'm truly proud of You
And no matter what they say, I never doubted You
I completely understand what You gotta do
Do what You gotta do",Blessings,primary,0.2621,124,5,0,0.436930,0.012703,0.460011,0.228940,0.008494,0.243111,0.395332,0.413912,disordered
bar_34,"I’m in the collard green 6, Cornbread in the guts Got the Halloween kicks trick or treatin’ the clutch Come on Nigga is you trickin’ or what? Flow, flow tighter than the dick in the butt",Roger That,primary,0.2615,144,5,0,0.453118,0.009257,0.465353,0.327167,0.043172,0.409578,0.427928,0.451382,uncertain_protein_like
bar_35,"Benihana to Katana, bitch I been a Donna
He screaming my government, O-Onika Tanya
You look like Nicki now, still you tacky-ana
To keep it 100, bitch you wacky-ana",Bust Down Barbiana,primary,0.2547,125,5,0,0.517255,0.016030,0.532726,0.467308,0.149451,0.758734,0.507266,0.577928,uncertain_protein_like
bar_36,"I ain't never lose NUN, but DAMN, I dun HAD IT
I ain't never STRIKE OUT
They can't average what I batted, NOOO!
If she hating, tell dat bitch to let it GOOOO",Runaway (Film),featured,0.2503,117,5,0,0.581555,0.018600,0.606102,0.422038,0.022459,0.450571,0.549651,0.567916,confident_protein_like
bar_37,"This Young Money ENT, fuck that negative Nancy
I'm still balling, I'm still balling, NBA on TNT
Came through dripping, D&G, always ducking TMZ
Flow still need that EMT, tell her get at me and see!",Arctic Tundra,primary,0.2469,151,5,0,0.352887,0.015631,0.362840,0.186687,0.004345,0.194076,0.319647,0.327979,disordered
bar_38,"This one goes out to all of my critics
Don't you feel stupid
Look how I did it
Look how it came to pass when I said it
We can do debit I don't need no credit
Yes I'm epic look how I rep it",Haterade,featured,0.2407,141,5,0,0.372057,0.012009,0.386044,0.287578,0.042214,0.349068,0.355161,0.372298,disordered
bar_39,"I’m just abusive by nature, not cause I hate ya, not cause I wanna get someone to imitate ya, I know it’s hard, I know it intimidate ya",The Crying Game,primary,0.2307,102,5,0,0.538799,0.016821,0.563795,0.380561,0.023367,0.417779,0.507152,0.534592,uncertain_protein_like
bar_4,"you gotta catch me while i care, i ain’t callin’ for u watchin’ my every move, thought i was fallin’ for YOU?",Fallin 4 U,primary,0.7564,81,5,0,0.482579,0.006997,0.492659,0.301079,0.012425,0.310250,0.446279,0.455986,disordered
